,time,open,high,low,close,Basis,Upper,Lower,EMA,Smoothing Line,Plot,Plot.1,Plot.2,Plot.3,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,RSI.1,RSI-based MA.1,Upper Bollinger Band.1,Lower Bollinger Band.1,Histogram,MACD,Signal,datetime,year,month,day,hour,date
763,1656000000,38.82,38.86,38.59,38.59,,,,,,38.6637697620705,38.44893260663919,38.53902098956588,39.18168931239555,22325,31744.45,45.217008227349446,53.98182193223357,,,50.07919946992792,55.09698466588369,,,-0.0475784709047282,0.146157709913929,0.1937361808186573,2022-06-24 00:00:00,2022,7,27,21,2022-6-24
772,1656086400,39.53,39.71,39.53,39.71,,,,,,38.98357051944702,38.65817951449081,38.6348021621965,39.17553693878126,11320,27688.3,73.29789132778642,56.45330421729044,,,64.3725059456801,55.38976157277106,,,0.0789051018914645,0.2643436961151124,0.1854385942236479,2022-06-25 00:00:00,2022,7,28,20,2022-6-25
776,1656327600,39.68,39.71,39.67,39.7,,,,,,39.17671820725344,38.79206908461643,38.70607557099971,39.19064738307586,2636,30730.8,66.5890479752081,59.92404494980068,,,62.03598203735517,57.454339190199335,,,0.0488681899937384,0.2907116527674063,0.2418434627736678,2022-06-27 19:00:00,2022,7,29,0,2022-6-27
781,1656345600,39.53,39.56,39.175,39.34,,,,,,39.302546890065166,38.92144248358862,38.78247136138036,39.20624303151194,16136,26705.75,46.34349841813739,62.35416350012799,,,53.00805839138927,59.55808970134676,,,-0.0275124152623337,0.2250814175037021,0.2525938327660358,2022-06-28 00:00:00,2022,7,29,5,2022-6-28
790,1656432000,38.99,39.2,38.96,39.11,,,,,,39.25373905174917,39.0133411689767,38.85564783268416,39.20805135866693,17395,23515.55,41.43621372811512,48.52468287032591,,,47.756495666425096,52.985752751324966,,,-0.0680078453202934,0.0473429269270582,0.1153507722473516,2022-06-29 00:00:00,2022,7,30,4,2022-6-29
799,1656518400,38.4,38.4,37.89,37.95,,,,,,38.81216003961055,38.87298913964072,38.807257810430855,39.15297990383161,27270,22943.2,11.521512573479754,33.10215409920594,,,27.18176785750346,42.4191665590908,,,-0.1219054810675526,-0.226871636048429,-0.1049661549808764,2022-06-30 00:00:00,2022,8,2,3,2022-6-30
808,1656604800,37.66,38.01,37.52,37.62,,,,,,38.072124843421335,38.48080859248262,38.605087215781744,39.01778239294961,19650,23884.85,39.64986717639966,21.31252165751512,,,35.936823900945214,30.46653977956578,,,-0.048996956113457,-0.4203682689805958,-0.3713713128671388,2022-07-01 00:00:00,2022,8,3,1,2022-7-1
817,1656691200,37.73,37.82,37.6,37.7,,,,,,37.732893257583726,38.17975601366288,38.41978564339985,38.88524301856549,25980,27805.0,54.39325711999679,37.37876898095789,,,46.29892653442084,35.38992061659106,,,0.0725909497841973,-0.2757556341678011,-0.3483465839519984,2022-07-02 00:00:00,2022,8,4,1,2022-7-2
822,1657018800,38.06,38.06,38.05,38.05,,,,,,37.881947910252414,38.16660479264072,38.38989014148165,38.84718156438702,200,26075.55,58.91283078380055,49.87859775121134,,,52.29138967332732,43.61910857588848,,,0.1349213380627389,-0.054186340296539,-0.1891076783592779,2022-07-05 19:00:00,2022,8,4,20,2022-7-5
827,1657036800,38.2,38.52,38.2,38.42,,,,,,37.94725155881995,38.14218479384797,38.35534380252369,38.80705465681476,17954,28163.65,62.79432751587638,57.33621342899214,,,57.00447880966205,50.1026088794046,,,0.0952261586423079,0.0162992559441192,-0.0789269026981886,2022-07-06 00:00:00,2022,8,5,1,2022-7-6
838,1657123200,38.06,38.24,38.02,38.11,,,,,,38.11463478412725,38.17223222932866,38.33189646351169,38.748163345453655,25279,23643.8,47.80674688281914,53.37446938663032,,,50.07618402560256,52.83377037909718,,,-0.0175226781601269,0.0341366980750166,0.0516593762351435,2022-07-07 00:00:00,2022,8,6,2,2022-7-7
847,1657209600,39.09,39.23,38.92,38.92,,,,,,38.42613257861703,38.2991415802672,38.3721070576342,38.732656167052376,32806,27023.3,68.31197324027762,57.51022169310957,,,62.98435418103672,55.31502666527848,,,0.0839685814783655,0.2036006253492672,0.1196320438709016,2022-07-08 00:00:00,2022,8,9,0,2022-7-8
859,1657296000,37.21,37.21,37.0,37.025,,,,,,37.74550548126465,38.0116119867751,38.20295657958259,38.60425870158391,78447,40514.55,29.3212375710294,44.22414575975203,,,35.81069066239324,46.22506709470581,,,-0.1281329997540446,-0.3035078460545151,-0.1753748463004704,2022-07-09 00:00:00,2022,8,10,3,2022-7-9
866,1657537200,34.55,35.17,34.55,34.8,,,,,,36.78193906310687,37.506514335246976,37.91263692832528,38.42814773781256,85846,49876.5,19.81831356772814,28.16513962417971,,,24.41912542233338,33.85654799894308,,,-0.2782861578177488,-0.7416379560422044,-0.4633517982244555,2022-07-11 19:00:00,2022,8,11,1,2022-7-11
871,1657555200,33.56,33.685,33.245,33.29,,,,,,35.64588195840893,36.85875878803711,37.53512798378772,38.20983644984444,182916,126760.7,10.751529580643975,21.34010587044612,,,17.358718149456664,27.404455156166037,,,-0.2927438052231744,-1.1201144682911846,-0.8273706630680101,2022-07-12 00:00:00,2022,8,11,21,2022-7-12
882,1657641600,33.715,34.23,33.67,34.005,,,,,,34.07555114705421,35.56814526650194,36.682015028057336,37.68866528592101,125299,144763.35,59.53852612229591,27.324147020400297,,,43.68863202485431,25.709599894336986,,,0.1994166000536836,-0.841408135092145,-1.0408247351458286,2022-07-13 00:00:00,2022,8,12,22,2022-7-13
894,1657728000,36.49,37.11,36.45,36.87,,,,,,34.948376271922044,35.40357771743303,36.339145607278496,37.389707813869926,168519,113325.25,86.991773691068,68.19705605747444,,,71.93129360843301,53.29988269265326,,,0.4354640261230307,0.3369539912509864,-0.0985100348720442,2022-07-14 00:00:00,2022,8,15,23,2022-7-14
907,1657814400,36.465,36.54,36.27,36.33,,,,,,36.187851529770974,35.920457859047126,36.4186888062293,37.30448668973362,48377,100663.75,46.331652679461534,69.68063986002319,,,54.81108113675732,65.33632642251351,,,-0.0533583809298621,0.439945687157774,0.4933040680876361,2022-07-15 00:00:00,2022,8,17,3,2022-7-15
917,1657900800,37.07,37.38,36.98,37.2,,,,,,36.516668134989445,36.16609669602441,36.4609848104856,37.24177053090232,67934,44498.45,70.11645289562652,54.48144675889658,,,63.978590206869455,57.63754201986652,,,-0.0024215618080695,0.3186936523805457,0.3211152141886152,2022-07-16 00:00:00,2022,8,18,3,2022-7-16
922,1658142000,37.59,37.64,37.54,37.63,,,,,,36.94736813374087,36.427584948724736,36.570116077613946,37.259601125026485,899,53909.05,70.6857237627235,61.89119092493024,,,66.20689126181938,60.9013205888625,,,0.054771860527882,0.4426667822134433,0.3878949216855613,2022-07-18 19:00:00,2022,8,19,0,2022-7-18
927,1658160000,38.15,38.51,38.05,38.44,,,,,,37.342599991672,36.698236665407634,36.69765032200892,37.29108378700971,79601,49021.1,81.25836153860848,69.13379916909108,,,72.85170336873209,65.02111097962897,,,0.0681254084477808,0.5052136193563115,0.4370882109085306,2022-07-19 00:00:00,2022,8,19,21,2022-7-19
936,1658246400,39.495,40.5,39.29,39.69,,,,,,38.230672262494345,37.320347860635714,37.03221327672073,37.413645957202775,532032,82932.95,87.25743187178028,73.05883721564669,,,78.88413833860182,69.36352986673924,,,0.1131273186779608,0.6691632725565242,0.5560359538785633,2022-07-20 00:00:00,2022,8,22,20,2022-7-20
